Date,Open,High,Low,Close,Volume
2020-01-01,10004.259408274742,10009.922169301159,9993.028143877053,10000.49671415301,1353153
2020-01-02,9999.110512332947,10011.851673097608,9992.29429535833,10000.35844985184,3530200
2020-01-03,9996.099550830862,10015.36894460463,9990.45480052241,10001.006138389941,4453708
2020-01-06,10009.346599834867,10008.169231712434,9991.64925195171,10002.529168246348,2979442
2020-01-07,9993.063541850874,10015.542447245096,9993.030017399207,10002.295014871626,1987938
2020-01-08,10010.096117757384,10009.9847090188,9990.906670116468,10002.060877914677,3880229
2020-01-09,10002.869640022678,10013.079285275247,9997.82434147407,10003.640090730183,1936066
2020-01-10,10007.151554995502,10009.626658747087,9998.529643088756,10004.407525459337,1982014
2020-01-13,10007.125129517517,10011.948511851744,9997.219756469824,10003.9380510734,4801065
2020-01-14,10012.382965931118,10014.50692354329,9994.299836136584,10004.480611116987,1862839
2020-01-15,10006.75058706752,10009.57895419765,9996.877246637192,10004.017193424175,3891194
2020-01-16,10005.830135365806,10013.462420964437,9995.71861963568,10003.551463670605,2682245
2020-01-17,9995.126466753385,10018.064532230756,9994.79029758044,10003.79342594217,2534710
2020-01-20,10002.248306136416,10007.93407787859,9988.76148445741,10001.880145697512,2064367
2020-01-21,9993.15860788134,10012.799635145755,9995.016606505871,10000.155227865,2106623
2020-01-22,10004.34161571019,10008.689650869519,9988.099152133393,9999.592940335759,4639792
2020-01-23,9998.824547631679,10010.13184636067,9986.891343905017,9998.580109215425,1234898
2020-01-24,10002.498912132187,10006.496722527872,9985.907798744454,9998.89435654802,1461122
2020-01-27,9988.819790484547,10004.581255097914,9983.658803081897,9997.9863324725,1675025
2020-01-28,9988.269869092079,10003.178654913876,9991.37265028167,9996.574028771163,1070246
2020-01-29,10002.366145301337,10003.744596996516,9991.501840484952,9998.039677540084,4342664
2020-01-30,9989.255587959573,10004.670368288611,9983.95218829904,9997.813901239599,2283531
2020-01-31,9989.306563999591,10009.523623294175,9988.296243822415,9997.881429444285,3445444
2020-02-03,9986.69885076277,10010.273587376507,9985.810774868738,9996.456681258072,3667330
2020-02-04,10005.042326499537,10009.053555389459,9984.282026496316,9995.912298533547,2448586
2020-02-05,10000.773388312438,10007.874564222002,9984.2325550783,9996.023221123258,2605752
2020-02-06,9991.937255715877,10000.976546179945,9980.55482351267,9994.872227545835,4283549
2020-02-07,9991.178637189934,10003.13980002714,9980.278431390065,9995.247925564181,1570819
2020-02-10,9991.64135146918,10002.745355627487,9982.445712264953,9994.647286874262,2950660
2020-02-11,9999.848663748091,10001.855162588445,9986.483381032416,9994.355593124468,1807040
2020-02-12,9996.981298733646,10003.903943109335,9979.956362489294,9993.753886512239,3440282
2020-02-13,9989.310076054098,10005.961702845545,9990.11395555134,9995.606164696748,2037886
2020-02-14,9989.074854178692,10004.161527223721,9988.281858943265,9995.59266747201,3443292
2020-02-17,9986.502869537324,10003.07284813042,9980.561099368419,9994.534956543055,4726033
2020-02-18,9998.563555849183,10008.643057434218,9987.795586310764,9995.357501455157,4642891
2020-02-19,9999.424111049622,10007.029586288385,9986.93014720897,9994.136657805187,3154828
2020-02-20,9989.64644996669,10002.423479717,9987.96426846879,9994.345521400192,2584424
2020-02-21,9982.804750496929,10006.523735715044,9978.794733699842,9992.38585127631,4593345
2020-02-24,9982.701098576943,10005.585815397439,9981.057082635503,9991.057665227414,2099044
2020-02-25,10000.611727160183,9999.521951883584,9979.505594432741,9991.254526463283,2033388
2020-02-26,9987.901888592825,10000.537242531207,9984.602329202527,9991.992993043277,3784975
2020-02-27,9997.548824281232,10002.220702858689,9979.583957114357,9992.164361324469,4046319
2020-02-28,9994.541984419164,10006.459921167416,9979.448657592458,9992.048713042079,4083362
2020-03-02,9989.386402139547,10005.510803677913,9983.621629097408,9991.74760934649,1451989
2020-03-03,9984.382832600033,9996.294766981959,9981.16226102602,9990.269087356122,1819555
2020-03-04,9981.976971510916,9998.476550580443,9982.452340373427,9989.549243147729,4764362
2020-03-05,9991.388863737546,9999.622316274266,9974.322994143538,9989.088604376768,1665078
2020-03-06,9995.638402215742,10000.177051328503,9978.689700832403,9990.145726602987,4141433
2020-03-09,9993.367429963379,9997.427975571925,9976.1439060854,9990.489344892556,1717997
2020-03-10,9989.332347402176,10002.314472448874,9980.692449300901,9988.726304737193,4932188
2020-03-11,9979.88941317522,10000.819796536556,9976.23147957662,9989.050388706588,4077026
2020-03-12,9998.03508197806,10002.04439017469,9976.006719987325,9988.665306426172,3144751
2020-03-13,9993.962668258957,10001.57602721936,9976.0718279072,9987.988384425866,1148469
2020-03-16,9984.456501448727,10001.083619251365,9973.943670962039,9988.600060714707,3337422
2020-03-17,9999.23046682438,9999.0231662497,9980.69550687614,9989.631060237203,4191134
2020-03-18,9992.599972149044,10001.667807906473,9984.255167120422,9990.562340356319,4979817
2020-03-19,9991.371575997242,9996.326776894293,9978.006034240656,9989.723122833097,2116136
2020-03-20,9994.375374045834,10001.150364631992,9977.120812452473,9989.413910457244,1516394
2020-03-23,9995.980569650452,9996.53770644604,9978.99456815406,9989.745173888648,4774159
2020-03-24,9993.850291162402,10002.660214920874,9983.652540084437,9990.720719015771,3090825
2020-03-25,9982.80345970525,9997.537526385466,9980.196985361232,9990.241544777926,1520112
2020-03-26,9986.82123592115,9996.231398802764,9981.93398843557,9990.055885801261,4290303
2020-03-27,9997.511223633777,9995.602395728685,9979.674885545588,9988.949550827256,2103519
2020-03-30,9982.24565644005,9992.773265555365,9976.301158444729,9987.753344203174,4221567
2020-03-31,9986.00921050232,10000.753266204105,9976.113722598662,9988.56587002557,3704114
2020-04-01,9988.563647713025,10002.246120544723,9982.599863145126,9989.92211005414,3646785
2020-04-02,9988.638199726447,9999.99943343169,9980.79684632609,9989.850099932559,2298071
2020-04-03,9993.112424480341,9997.467260841004,9983.162017120534,9990.85363283045,2098966
2020-04-06,10000.076785610394,9997.050812230607,9984.228952716881,9991.2152688555,4896129
2020-04-07,9985.384003337545,9995.761438765268,9977.736276900936,9990.570149100895,3418853
2020-04-08,9983.36157223242,9997.589026476055,9976.839017762031,9990.931544706402,4079710
2020-04-09,9986.418991070066,10006.3781366227,9983.767259416021,9992.469581272868,2050482
2020-04-10,10000.172253237944,9999.849123650774,9979.92096599002,9992.433755233758,4054823
2020-04-13,9996.914615142678,10002.541112161745,9980.02844599593,9993.998398889573,1532249
